Code,lichaamslocalisatie,pathologie
1000,Achterzijde hoofd,Amputatie
1001,Achterzijde hoofd,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
1002,Achterzijde hoofd,"Botten, uitgezonderd wervelkolom"
1003,Achterzijde hoofd,"Meniscectomie, synovectomie"
1004,Achterzijde hoofd,"Pees, spier, ligament"
1005,Achterzijde hoofd,Wervelkolom
1006,Achterzijde hoofd,Verwijderde osteosynthese materiaal
1008,Achterzijde hoofd,Postoperatieve contractuur / atrofie
1009,Achterzijde hoofd,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
1010,Achterzijde hoofd,Aseptische botnecrose
1011,Achterzijde hoofd,Afwijkingen wervelkolom / bekken
1012,Achterzijde hoofd,Skeletafwijkingen (aangeboren)
1013,Achterzijde hoofd,Ossificatiestoornis
1014,Achterzijde hoofd,Ontstekingen / nieuwvormingen in het skelet
1015,Achterzijde hoofd,Pseudo-arthrose / epiphysiolysis / apofysitiden
1016,Achterzijde hoofd,Standsafwijkingen extremiteiten
1017,Achterzijde hoofd,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
1018,Achterzijde hoofd,Overige orthopedische aandoeningen zonder chirurgie
1019,Achterzijde hoofd,Dupuytren
1020,Achterzijde hoofd,Epicondylitis / tendinitis / tendovaginitis
1021,Achterzijde hoofd,Bursitis (niet traumatisch) / capsulitis
1022,Achterzijde hoofd,Chondropathie / arthropathie / meniscuslaesie
1023,Achterzijde hoofd,Arthrose
1024,Achterzijde hoofd,Osteoporose
1025,Achterzijde hoofd,Syndroom van Costen
1026,Achterzijde hoofd,"Spier-, pees- en fascie aandoeningen"
1027,Achterzijde hoofd,"Discusdegeneratie, coccygodynie / HNP"
1028,Achterzijde hoofd,Sudeckse a(dys)trofie
1031,Achterzijde hoofd,Gewrichtcontusie / -distorsie
1032,Achterzijde hoofd,Luxatie (sub-)
1033,Achterzijde hoofd,"Spier-, peesruptuur / haematoom"
1034,Achterzijde hoofd,Hydrops / haemarthos / haematoom
1035,Achterzijde hoofd,Myositis ossificans / adhaesies / traumatische bursitis
1036,Achterzijde hoofd,Fracturen
1037,Achterzijde hoofd,Onbekend
1038,Achterzijde hoofd,Whiplash injury (nektrauma)
1039,Achterzijde hoofd,Status na brandwonden
1040,Achterzijde hoofd,Hartaandoeningen (niet genoemd onder 41 t/m 49)
1041,Achterzijde hoofd,Myocard-infarct (AMI)
1042,Achterzijde hoofd,Status na coronary artery bypassoperatie (CABG)
1043,Achterzijde hoofd,Status na percutane transluminale coronair angioplastiek (PTCA)
1044,Achterzijde hoofd,Status na hartklepoperatie
1045,Achterzijde hoofd,Status na operatief gecorrigeerde congenitale afwijkingen
1046,Achterzijde hoofd,Lymfevataandoeningen / oedeem
1047,Achterzijde hoofd,Ulcus / decubitus / necrose
1048,Achterzijde hoofd,"Algemeen vaatlijden, circulatiestoornissen"
1049,Achterzijde hoofd,Onbekend
1050,Achterzijde hoofd,Cara
1051,Achterzijde hoofd,Aangeboren afwijkingen tractus respiratorius
1052,Achterzijde hoofd,Pneumothorax / longoedeem
1053,Achterzijde hoofd,Luchtweginfecties
1054,Achterzijde hoofd,COPD
1055,Achterzijde hoofd,Emfyseem
1056,Achterzijde hoofd,Interstitiële longaandoeningen incl. sarcoïdose
1060,Achterzijde hoofd,Diabetes mellitus
1061,Achterzijde hoofd,Immuniteitsstoornissen
1062,Achterzijde hoofd,Spastisch colon
1064,Achterzijde hoofd,Adipositas
